,cylinders,horsepower,mpg,displacement,acceleration,model year,weight,car_name
0,8,130.0,18.0,307.0,12.0,70,3504.0,chevrolet chevelle malibu
1,8,165.0,15.0,350.0,11.5,70,3693.0,buick skylark 320
2,8,150.0,18.0,318.0,11.0,70,3436.0,plymouth satellite
3,8,150.0,16.0,304.0,12.0,70,3433.0,amc rebel sst
4,8,140.0,17.0,302.0,10.5,70,3449.0,ford torino
5,8,198.0,15.0,429.0,10.0,70,4341.0,ford galaxie 500
6,8,220.0,14.0,454.0,9.0,70,4354.0,chevrolet impala
7,8,215.0,14.0,440.0,8.5,70,4312.0,plymouth fury iii
8,8,225.0,14.0,455.0,10.0,70,4425.0,pontiac catalina
9,8,190.0,15.0,390.0,8.5,70,3850.0,amc ambassador dpl
10,8,170.0,15.0,383.0,10.0,70,3563.0,dodge challenger se
11,8,160.0,14.0,340.0,8.0,70,3609.0,plymouth 'cuda 340
12,8,150.0,15.0,400.0,9.5,70,3761.0,chevrolet monte carlo
13,8,225.0,14.0,455.0,10.0,70,3086.0,buick estate wagon (sw)
15,6,95.00,22.0,198.0,15.5,70,2833.0,plymouth duster
16,6,97.00,18.0,199.0,15.5,70,2774.0,amc hornet
17,6,85.00,21.0,200.0,16.0,70,2587.0,ford maverick
24,6,90.00,21.0,199.0,15.0,70,2648.0,amc gremlin
25,8,215.0,10.0,360.0,14.0,70,4615.0,ford f250
26,8,200.0,10.0,307.0,15.0,70,4376.0,chevy c20
27,8,210.0,11.0,318.0,13.5,70,4382.0,dodge d200
28,8,193.0,9.0,304.0,18.5,70,4732.0,hi 1200d
30,4,90.00,28.0,140.0,15.5,71,2264.0,chevrolet vega 2300
33,6,100.0,19.0,232.0,13.0,71,2634.0,amc gremlin
34,6,105.0,16.0,225.0,15.5,71,3439.0,plymouth satellite custom
35,6,100.0,17.0,250.0,15.5,71,3329.0,chevrolet chevelle malibu
36,6,88.00,19.0,250.0,15.5,71,3302.0,ford torino 500
37,6,100.0,18.0,232.0,15.5,71,3288.0,amc matador
38,8,165.0,14.0,350.0,12.0,71,4209.0,chevrolet impala
39,8,175.0,14.0,400.0,11.5,71,4464.0,pontiac catalina brougham
40,8,153.0,14.0,351.0,13.5,71,4154.0,ford galaxie 500
41,8,150.0,14.0,318.0,13.0,71,4096.0,plymouth fury iii
42,8,180.0,12.0,383.0,11.5,71,4955.0,dodge monaco (sw)
43,8,170.0,13.0,400.0,12.0,71,4746.0,ford country squire (sw)
44,8,175.0,13.0,400.0,12.0,71,5140.0,pontiac safari (sw)
45,6,110.0,18.0,258.0,13.5,71,2962.0,amc hornet sportabout (sw)
46,4,72.00,22.0,140.0,19.0,71,2408.0,chevrolet vega (sw)
47,6,100.0,19.0,250.0,15.0,71,3282.0,pontiac firebird
48,6,88.00,18.0,250.0,14.5,71,3139.0,ford mustang
49,4,86.00,23.0,122.0,14.0,71,2220.0,mercury capri 2000
56,4,70.00,26.0,91.0,20.5,71,1955.0,plymouth cricket
58,4,80.00,25.0,97.5,17.0,72,2126.0,dodge colt hardtop
60,4,90.00,20.0,140.0,19.5,72,2408.0,chevrolet vega
61,4,86.00,21.0,122.0,16.5,72,2226.0,ford pinto runabout
62,8,165.0,13.0,350.0,12.0,72,4274.0,chevrolet impala
63,8,175.0,14.0,400.0,12.0,72,4385.0,pontiac catalina
64,8,150.0,15.0,318.0,13.5,72,4135.0,plymouth fury iii
65,8,153.0,14.0,351.0,13.0,72,4129.0,ford galaxie 500
66,8,150.0,17.0,304.0,11.5,72,3672.0,amc ambassador sst
67,8,208.0,11.0,429.0,11.0,72,4633.0,mercury marquis
68,8,155.0,13.0,350.0,13.5,72,4502.0,buick lesabre custom
69,8,160.0,12.0,350.0,13.5,72,4456.0,oldsmobile delta 88 royale
70,8,190.0,13.0,400.0,12.5,72,4422.0,chrysler newport royal
72,8,150.0,15.0,304.0,12.5,72,3892.0,amc matador (sw)
73,8,130.0,13.0,307.0,14.0,72,4098.0,chevrolet chevelle concours (sw)
74,8,140.0,13.0,302.0,16.0,72,4294.0,ford gran torino (sw)
75,8,150.0,14.0,318.0,14.0,72,4077.0,plymouth satellite custom (sw)
80,4,86.00,22.0,122.0,16.0,72,2395.0,ford pinto (sw)
83,4,80.00,28.0,98.0,15.0,72,2164.0,dodge colt (sw)
85,8,175.0,13.0,350.0,13.0,73,4100.0,buick century 350
86,8,150.0,14.0,304.0,11.5,73,3672.0,amc matador
87,8,145.0,13.0,350.0,13.0,73,3988.0,chevrolet malibu
88,8,137.0,14.0,302.0,14.5,73,4042.0,ford gran torino
89,8,150.0,15.0,318.0,12.5,73,3777.0,dodge coronet custom
90,8,198.0,12.0,429.0,11.5,73,4952.0,mercury marquis brougham
91,8,150.0,13.0,400.0,12.0,73,4464.0,chevrolet caprice classic
92,8,158.0,13.0,351.0,13.0,73,4363.0,ford ltd
93,8,150.0,14.0,318.0,14.5,73,4237.0,plymouth fury gran sedan
94,8,215.0,13.0,440.0,11.0,73,4735.0,chrysler new yorker brougham
95,8,225.0,12.0,455.0,11.0,73,4951.0,buick electra 225 custom
96,8,175.0,13.0,360.0,11.0,73,3821.0,amc ambassador brougham
97,6,105.0,18.0,225.0,16.5,73,3121.0,plymouth valiant
98,6,100.0,16.0,250.0,18.0,73,3278.0,chevrolet nova custom
99,6,100.0,18.0,232.0,16.0,73,2945.0,amc hornet
100,6,88.00,18.0,250.0,16.5,73,3021.0,ford maverick
101,6,95.00,23.0,198.0,16.0,73,2904.0,plymouth duster
103,8,150.0,11.0,400.0,14.0,73,4997.0,chevrolet impala
104,8,167.0,12.0,400.0,12.5,73,4906.0,ford country
105,8,170.0,13.0,360.0,13.0,73,4654.0,plymouth custom suburb
106,8,180.0,12.0,350.0,12.5,73,4499.0,oldsmobile vista cruiser
107,6,100.0,18.0,232.0,15.0,73,2789.0,amc gremlin
109,4,72.00,21.0,140.0,19.5,73,2401.0,chevrolet vega
112,4,85.00,19.0,122.0,18.5,73,2310.0,ford pinto
113,6,107.0,21.0,155.0,14.0,73,2472.0,mercury capri v6
115,8,145.0,15.0,350.0,13.0,73,4082.0,chevrolet monte carlo s
116,8,230.0,16.0,400.0,9.5,73,4278.0,pontiac grand prix
121,8,150.0,15.0,318.0,11.0,73,3399.0,dodge dart custom
124,8,180.0,11.0,350.0,11.0,73,3664.0,oldsmobile omega
125,6,95.00,20.0,198.0,16.5,74,3102.0,plymouth duster
127,6,100.0,19.0,232.0,16.0,74,2901.0,amc hornet
128,6,100.0,15.0,250.0,17.0,74,3336.0,chevrolet nova
130,4,80.00,26.0,122.0,16.5,74,2451.0,ford pinto
132,4,75.00,25.0,140.0,17.0,74,2542.0,chevrolet vega
133,6,100.0,16.0,250.0,17.0,74,3781.0,chevrolet chevelle malibu classic
134,6,110.0,16.0,258.0,18.0,74,3632.0,amc matador
135,6,105.0,18.0,225.0,16.5,74,3613.0,plymouth satellite sebring
136,8,140.0,16.0,302.0,14.0,74,4141.0,ford gran torino
137,8,150.0,13.0,350.0,14.5,74,4699.0,buick century luxus (sw)
138,8,150.0,14.0,318.0,13.5,74,4457.0,dodge coronet custom (sw)
139,8,140.0,14.0,302.0,16.0,74,4638.0,ford gran torino (sw)
140,8,150.0,14.0,304.0,15.5,74,4257.0,amc matador (sw)
146,4,75.00,28.0,90.0,14.5,74,2125.0,dodge colt
152,6,95.00,19.0,225.0,16.0,75,3264.0,plymouth valiant custom
153,6,105.0,18.0,250.0,16.0,75,3459.0,chevrolet nova
154,6,72.00,15.0,250.0,21.0,75,3432.0,mercury monarch
155,6,72.00,15.0,250.0,19.5,75,3158.0,ford maverick
156,8,170.0,16.0,400.0,11.5,75,4668.0,pontiac catalina
157,8,145.0,15.0,350.0,14.0,75,4440.0,chevrolet bel air
158,8,150.0,16.0,318.0,14.5,75,4498.0,plymouth grand fury
159,8,148.0,14.0,351.0,13.5,75,4657.0,ford ltd
160,6,110.0,17.0,231.0,21.0,75,3907.0,buick century
161,6,105.0,16.0,250.0,18.5,75,3897.0,chevroelt chevelle malibu
162,6,110.0,15.0,258.0,19.0,75,3730.0,amc matador
163,6,95.00,18.0,225.0,19.0,75,3785.0,plymouth fury
164,6,110.0,21.0,231.0,15.0,75,3039.0,buick skyhawk
165,8,110.0,20.0,262.0,13.5,75,3221.0,chevrolet monza 2+2
166,8,129.0,13.0,302.0,12.0,75,3169.0,ford mustang ii
