,mpg,displacement,model year,cylinders,weight,acceleration,horsepower,car_name
19,26.0,97.0,70,4,1835.0,20.5,46.00,volkswagen 1131 deluxe sedan
20,25.0,110.0,70,4,2672.0,17.5,87.00,peugeot 504
21,24.0,107.0,70,4,2430.0,14.5,90.00,audi 100 ls
22,25.0,104.0,70,4,2375.0,17.5,95.00,saab 99e
23,26.0,121.0,70,4,2234.0,12.5,113.0,bmw 2002
50,28.0,116.0,71,4,2123.0,14.0,90.00,opel 1900
51,30.0,79.0,71,4,2074.0,19.5,70.00,peugeot 304
52,30.0,88.0,71,4,2065.0,14.5,76.00,fiat 124b
55,27.0,97.0,71,4,1834.0,19.0,60.00,volkswagen model 111
59,23.0,97.0,72,4,2254.0,23.5,54.00,volkswagen type 3
76,18.0,121.0,72,4,2933.0,14.5,112.0,volvo 145e (sw)
77,22.0,121.0,72,4,2511.0,18.0,76.00,volkswagen 411 (sw)
78,21.0,120.0,72,4,2979.0,19.5,87.00,peugeot 504 (sw)
79,26.0,96.0,72,4,2189.0,18.0,69.00,renault 12 (sw)
102,26.0,97.0,73,4,1950.0,21.0,46.00,volkswagen super beetle
114,26.0,98.0,73,4,2265.0,15.5,90.00,fiat 124 sport coupe
117,29.0,68.0,73,4,1867.0,19.5,49.00,fiat 128
118,24.0,116.0,73,4,2158.0,15.5,75.00,opel manta
119,20.0,114.0,73,4,2582.0,14.0,91.00,audi 100ls
120,19.0,121.0,73,4,2868.0,15.5,112.0,volvo 144ea
122,24.0,121.0,73,4,2660.0,14.0,110.0,saab 99le
141,29.0,98.0,74,4,2219.0,16.5,83.00,audi fox
142,26.0,79.0,74,4,1963.0,15.5,67.00,volkswagen dasher
143,26.0,97.0,74,4,2300.0,14.5,78.00,opel manta
147,24.0,90.0,74,4,2108.0,15.5,75.00,fiat 128
148,26.0,116.0,74,4,2246.0,14.0,75.00,fiat 124 tc
151,31.0,79.0,74,4,2000.0,16.0,67.00,fiat x1.9
172,25.0,90.0,75,4,2223.0,16.5,71.00,volkswagen dasher
175,29.0,90.0,75,4,1937.0,14.0,70.00,volkswagen rabbit
177,23.0,115.0,75,4,2694.0,15.0,95.00,audi 100ls
178,23.0,120.0,75,4,2957.0,17.0,88.00,peugeot 504
179,22.0,121.0,75,4,2945.0,14.5,98.00,volvo 244dl
180,25.0,121.0,75,4,2671.0,13.5,115.0,saab 99le
182,28.0,107.0,76,4,2464.0,15.5,86.00,fiat 131
183,25.0,116.0,76,4,2220.0,16.9,81.00,opel 1900
186,27.0,101.0,76,4,2202.0,15.3,83.00,renault 12tl
197,29.0,90.0,76,4,1937.0,14.2,70.00,vw rabbit
203,29.5,97.0,76,4,1825.0,12.2,71.00,volkswagen rabbit
207,20.0,130.0,76,4,3150.0,15.7,102.0,volvo 245
209,19.0,120.0,76,4,3270.0,21.9,88.00,peugeot 504
211,16.5,168.0,76,6,3820.0,16.7,120.0,mercedes-benz 280s
218,36.0,79.0,77,4,1825.0,18.6,58.00,renault 5 gtl
233,29.0,97.0,77,4,1940.0,14.5,78.00,volkswagen rabbit custom
240,30.5,97.0,77,4,2190.0,14.1,78.00,volkswagen dasher
242,21.5,121.0,77,4,2600.0,12.8,110.0,bmw 320i
244,43.1,90.0,78,4,1985.0,21.5,48.00,volkswagen rabbit custom diesel
274,20.3,131.0,78,5,2830.0,15.9,103.0,audi 5000
275,17.0,163.0,78,6,3140.0,13.6,125.0,volvo 264gl
276,21.6,121.0,78,4,2795.0,15.7,115.0,saab 99gle
277,16.2,163.0,78,6,3410.0,15.8,133.0,peugeot 604sl
278,31.5,89.0,78,4,1990.0,14.9,71.00,volkswagen scirocco
293,31.9,89.0,79,4,1925.0,14.0,71.00,vw rabbit custom
297,25.4,183.0,79,5,3530.0,20.1,77.00,mercedes benz 300d
299,27.2,141.0,79,4,3190.0,24.8,71.00,peugeot 504
304,37.3,91.0,79,4,2130.0,14.7,69.00,fiat strada custom
309,41.5,98.0,80,4,2144.0,14.7,76.00,vw rabbit
317,34.3,97.0,80,4,2188.0,15.8,78.00,audi 4000
325,44.3,90.0,80,4,2085.0,21.7,48.00,vw rabbit c (diesel)
326,43.4,90.0,80,4,2335.0,23.7,48.00,vw dasher (diesel)
327,36.4,121.0,80,5,2950.0,19.9,67.00,audi 5000s (diesel)
328,30.0,146.0,80,4,3250.0,21.8,67.00,mercedes-benz 240d
332,29.8,89.0,80,4,1845.0,15.3,62.00,vokswagen rabbit
335,35.0,122.0,80,4,2500.0,15.1,88.00,triumph tr7 coupe
353,33.0,105.0,81,4,2190.0,14.2,74.00,volkswagen jetta
359,28.1,141.0,81,4,3230.0,20.4,80.00,peugeot 505s turbo diesel
360,30.7,145.0,81,6,3160.0,19.6,76.00,volvo diesel
375,36.0,105.0,82,4,1980.0,15.3,74.00,volkswagen rabbit l
394,44.0,97.0,82,4,2130.0,24.6,52.00,vw pickup
