,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
145,1.11,0.0,13.65,72.77,0.11,8.6,1.51769,3.66,0.0
146,1.34,0.0,13.33,72.67,0.56,8.33,1.5161,3.53,0.0
147,1.38,0.1,13.24,72.7,0.56,8.44,1.5167,3.57,0.0
148,1.35,0.0,12.16,72.89,0.57,8.53,1.51643,3.52,0.0
149,1.76,0.17,13.14,72.48,0.6,8.38,1.51665,3.45,0.0
150,0.83,0.0,14.32,71.5,0.0,9.49,1.52127,3.9,0.0
151,0.65,0.0,13.64,73.0,0.06,8.93,1.51779,3.65,0.0
152,1.22,0.0,13.42,72.69,0.59,8.32,1.5161,3.4,0.0
153,1.31,0.0,12.86,72.61,0.61,8.79,1.51694,3.58,0.0
154,1.26,0.0,13.04,73.01,0.52,8.58,1.51646,3.4,0.0
155,1.28,0.0,13.41,72.64,0.52,8.65,1.51655,3.39,0.0
156,0.58,0.0,14.03,71.79,0.11,9.65,1.52121,3.76,0.0
157,1.52,0.0,13.53,72.04,0.58,8.79,1.51776,3.41,0.0
158,1.63,0.09,13.5,71.94,0.57,8.81,1.51796,3.36,0.0
159,1.54,0.0,13.33,72.14,0.56,8.99,1.51832,3.34,0.0
160,0.75,0.24,13.64,72.65,0.16,8.89,1.51934,3.54,0.15
161,0.91,0.37,14.19,71.36,0.23,9.14,1.52211,3.78,0.0
