,Mg,RI,Ba,Ca,Al,Si,Na,Fe,K
162,2.68,1.51514,2.2,5.87,3.5,69.89,14.01,0.0,1.68
163,1.85,1.51915,0.0,10.09,1.86,72.69,12.73,0.0,0.6
164,1.88,1.52171,0.0,11.41,1.56,72.86,11.56,0.0,0.47
165,1.71,1.52151,0.0,11.62,1.56,73.44,11.03,0.0,0.58
166,0.0,1.51969,0.0,11.53,1.65,73.75,12.64,0.0,0.38
167,0.0,1.51666,0.0,10.17,1.83,73.88,12.86,0.0,0.97
168,0.0,1.51994,0.0,11.32,1.76,73.03,13.27,0.0,0.47
169,0.0,1.52369,0.0,12.24,1.58,72.22,13.44,0.0,0.32
170,0.0,1.51316,0.0,6.96,3.04,70.48,13.02,0.0,6.21
171,0.0,1.51321,0.0,6.93,3.02,70.7,13.0,0.0,6.21
172,0.0,1.52043,0.0,12.5,1.4,72.25,13.38,0.0,0.33
173,1.61,1.52058,0.24,9.7,2.17,72.18,12.85,0.51,0.76
174,0.33,1.52119,0.0,11.27,1.51,73.39,12.97,0.28,0.13
