,area,perimeter,compactness,length_groove,length_kernel,asymmetry_coeff,width_kernel
70,17.63,15.98,0.8673,6.06,6.191,4.076,3.561
71,16.84,15.67,0.8623,5.877,5.998,4.675,3.484
72,17.26,15.73,0.8763,5.791,5.978,4.539,3.594
73,19.11,16.26,0.9081,6.079,6.154,2.936,3.93
74,16.82,15.51,0.8786,5.841,6.017,4.004,3.486
75,16.77,15.62,0.8638,5.795,5.927,4.92,3.438
76,17.32,15.91,0.8599,5.922,6.064,3.824,3.403
77,20.71,17.23,0.8763,6.451,6.579,4.451,3.814
78,18.94,16.49,0.875,6.362,6.445,5.064,3.639
79,17.12,15.55,0.8892,5.746,5.85,2.858,3.566
80,16.53,15.34,0.8823,5.88,5.875,5.532,3.467
81,18.72,16.19,0.8977,5.879,6.006,5.324,3.857
82,20.2,16.89,0.8894,6.187,6.285,5.173,3.864
83,19.57,16.74,0.8779,6.273,6.384,1.472,3.772
84,19.51,16.71,0.878,6.185,6.366,2.962,3.801
85,18.27,16.09,0.887,6.197,6.173,2.443,3.651
86,18.88,16.26,0.8969,6.109,6.084,1.649,3.764
87,18.98,16.66,0.859,6.498,6.549,3.691,3.67
88,21.18,17.21,0.8989,6.231,6.573,5.78,4.033
89,20.88,17.05,0.9031,6.321,6.45,5.016,4.032
90,20.1,16.99,0.8746,6.449,6.581,1.955,3.785
91,18.76,16.2,0.8984,6.053,6.172,3.12,3.796
92,18.81,16.29,0.8906,6.053,6.272,3.237,3.693
93,18.59,16.05,0.9066,5.877,6.037,6.001,3.86
94,18.36,16.52,0.8452,6.448,6.666,4.933,3.485
95,16.87,15.65,0.8648,5.967,6.139,3.696,3.463
96,19.31,16.59,0.8815,6.238,6.341,3.477,3.81
97,18.98,16.57,0.8687,6.453,6.449,2.144,3.552
98,18.17,16.26,0.8637,6.273,6.271,2.853,3.512
99,18.72,16.34,0.881,6.097,6.219,2.188,3.684
100,16.41,15.25,0.8866,5.618,5.718,4.217,3.525
101,17.99,15.86,0.8992,5.837,5.89,2.068,3.694
102,19.46,16.5,0.8985,6.009,6.113,4.308,3.892
103,19.18,16.63,0.8717,6.229,6.369,3.357,3.681
104,18.95,16.42,0.8829,6.148,6.248,3.368,3.755
105,18.83,16.29,0.8917,5.879,6.037,2.553,3.786
106,18.85,16.17,0.9056,6.2,6.152,2.843,3.806
107,17.63,15.86,0.88,5.929,6.033,3.747,3.573
108,19.94,16.92,0.8752,6.55,6.675,3.252,3.763
109,18.55,16.22,0.8865,5.894,6.153,1.738,3.674
110,18.45,16.12,0.8921,5.794,6.107,2.235,3.769
111,19.38,16.72,0.8716,5.965,6.303,3.678,3.791
112,19.13,16.31,0.9035,5.924,6.183,2.109,3.902
113,19.14,16.61,0.8722,6.053,6.259,6.682,3.737
114,20.97,17.25,0.8859,6.316,6.563,4.677,3.991
115,19.06,16.45,0.8854,6.163,6.416,2.248,3.719
116,18.96,16.2,0.9077,5.75,6.051,4.334,3.897
117,19.15,16.45,0.889,6.185,6.245,3.084,3.815
118,18.89,16.23,0.9008,5.966,6.227,3.639,3.769
119,20.03,16.9,0.8811,6.32,6.493,3.063,3.857
120,20.24,16.91,0.8897,6.188,6.315,5.901,3.962
121,18.14,16.12,0.8772,6.011,6.059,3.619,3.563
122,16.17,15.38,0.8588,5.703,5.762,4.286,3.387
123,18.43,15.97,0.9077,5.905,5.98,2.984,3.771
124,15.99,14.89,0.9064,5.144,5.363,3.336,3.582
125,18.75,16.18,0.8999,5.992,6.111,4.188,3.869
126,18.65,16.41,0.8698,6.102,6.285,4.391,3.594
127,17.98,15.85,0.8993,5.919,5.979,2.257,3.687
128,20.16,17.03,0.8735,6.185,6.513,1.91,3.773
129,17.55,15.66,0.8991,5.661,5.791,5.366,3.69
130,18.3,15.89,0.9108,5.962,5.979,2.837,3.755
131,18.94,16.32,0.8942,5.949,6.144,2.908,3.825
132,15.38,14.9,0.8706,5.795,5.884,4.462,3.268
133,16.16,15.33,0.8644,5.795,5.845,4.266,3.395
134,15.56,14.89,0.8823,5.847,5.776,4.972,3.408
135,15.38,14.66,0.899,5.439,5.477,3.6,3.465
136,17.36,15.76,0.8785,5.971,6.145,3.526,3.574
137,15.57,15.15,0.8527,5.879,5.92,2.64,3.231
138,15.6,15.11,0.858,5.752,5.832,2.725,3.286
139,16.23,15.18,0.885,5.922,5.872,3.769,3.472
