,length_groove,asymmetry_coeff,perimeter,area,width_kernel,compactness,length_kernel
140,5.395,5.304,13.92,13.07,2.994,0.848,5.472
141,5.44,7.035,13.94,13.32,3.073,0.8613,5.541
142,5.307,5.995,13.95,13.34,3.074,0.862,5.389
143,5.221,5.469,13.32,12.22,2.967,0.8652,5.224
144,5.178,4.471,13.4,11.82,2.777,0.8274,5.314
145,5.275,6.169,13.13,11.21,2.687,0.8167,5.279
146,5.132,2.221,13.13,11.43,2.719,0.8335,5.176
147,5.002,4.421,13.46,12.49,2.967,0.8658,5.267
148,5.316,3.26,13.71,12.7,2.911,0.8491,5.386
149,5.194,5.462,12.93,10.79,2.648,0.8107,5.317
150,5.307,5.195,13.23,11.83,2.84,0.8496,5.263
151,5.27,6.992,13.52,12.01,2.776,0.8249,5.405
152,5.36,4.756,13.6,12.26,2.833,0.8333,5.408
153,5.001,3.332,13.04,11.18,2.693,0.8266,5.22
154,5.263,4.048,13.05,11.36,2.755,0.8382,5.175
155,5.219,5.813,13.05,11.19,2.675,0.8253,5.25
156,5.003,3.347,12.87,11.34,2.849,0.8596,5.053
157,5.22,4.825,13.73,12.13,2.745,0.8081,5.394
158,5.31,4.378,13.52,11.75,2.678,0.8082,5.444
159,5.31,5.388,13.22,11.49,2.695,0.8263,5.304
160,5.491,3.082,13.67,12.54,2.879,0.8425,5.451
161,5.308,4.271,13.33,12.02,2.81,0.8503,5.35
162,5.046,4.988,13.41,12.05,2.847,0.8416,5.267
163,5.176,4.419,13.57,12.55,2.968,0.8558,5.333
164,5.049,6.388,12.79,11.14,2.794,0.8558,5.011
165,5.056,2.201,13.15,12.1,2.941,0.8793,5.105
166,5.27,4.924,13.59,12.44,2.897,0.8462,5.319
167,5.338,3.638,13.45,12.15,2.837,0.8443,5.417
168,5.132,4.337,13.12,11.35,2.668,0.8291,5.176
169,5.088,3.521,13.0,11.24,2.715,0.8359,5.09
170,5.163,6.735,13.0,11.02,2.701,0.8189,5.325
171,4.956,6.715,13.1,11.55,2.845,0.8455,5.167
172,5.0,4.309,12.97,11.27,2.763,0.8419,5.088
173,5.089,5.588,13.08,11.4,2.763,0.8375,5.136
174,5.185,5.182,12.96,10.83,2.641,0.8099,5.278
175,5.063,4.773,12.57,10.8,2.821,0.859,4.981
176,5.092,5.335,13.01,11.26,2.71,0.8355,5.186
177,4.963,4.702,12.73,10.74,2.642,0.8329,5.145
178,5.002,5.876,13.05,11.48,2.758,0.8473,5.18
179,5.178,1.661,13.47,12.21,2.893,0.8453,5.357
180,4.825,4.957,12.95,11.41,2.775,0.856,5.09
181,5.147,4.987,13.41,12.46,3.017,0.8706,5.236
182,5.158,4.857,13.36,12.19,2.909,0.8579,5.24
183,5.135,5.209,13.07,11.65,2.85,0.8575,5.108
184,5.316,6.185,13.77,12.89,3.026,0.8541,5.495
185,5.182,4.062,13.31,11.56,2.683,0.8198,5.363
186,5.352,4.898,13.45,11.81,2.716,0.8198,5.413
187,4.956,4.179,12.8,10.91,2.675,0.8372,5.088
188,4.957,7.524,12.82,11.23,2.821,0.8594,5.089
189,4.794,4.975,12.41,10.59,2.787,0.8648,4.899
190,5.045,5.398,12.8,10.93,2.717,0.839,5.046
191,5.001,3.985,12.86,11.27,2.804,0.8563,5.091
192,5.132,3.597,13.02,11.87,2.953,0.8795,5.132
193,5.089,4.853,12.83,10.82,2.63,0.8256,5.18
194,5.012,4.132,13.27,12.11,2.975,0.8639,5.236
195,4.914,4.873,13.47,12.8,3.126,0.886,5.16
196,4.958,5.483,13.53,12.79,3.054,0.8786,5.224
197,5.091,4.67,13.78,13.37,3.128,0.8849,5.32
198,5.231,3.306,13.67,12.62,2.911,0.8481,5.41
199,4.83,2.828,13.38,12.76,3.155,0.8964,5.073
200,5.045,5.472,13.44,12.38,2.989,0.8609,5.219
201,4.745,2.3,13.32,12.67,3.135,0.8977,4.984
202,4.828,4.051,12.72,11.18,2.81,0.868,5.009
203,5.0,8.456,13.41,12.7,3.091,0.8874,5.183
204,5.001,3.919,13.47,12.37,2.96,0.8567,5.204
205,4.87,3.631,13.2,12.19,2.981,0.8783,5.137
206,5.003,4.325,12.88,11.23,2.795,0.8511,5.14
207,5.056,8.315,13.66,13.2,3.232,0.8883,5.236
208,5.044,3.598,13.21,11.84,2.836,0.8521,5.175
209,5.063,5.637,13.34,12.3,2.974,0.8684,5.243
